description,measure,unit_price
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 1/8-UNC-40,1/8-UNC-40,4.312
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 1/8-UNC-40,1/8-UNC-40,5.2024
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 5/32-UNC-32,5/32-UNC-32,3.3992
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 5/32-UNC-32,5/32-UNC-32,4.452
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 3/16-UNC-24,3/16-UNC-24,7.616
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 3/16-UNC-24,3/16-UNC-24,9.7664
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 1/4-UNC-20,1/4-UNC-20,11.7675
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 1/4-UNC-20,1/4-UNC-20,13.9328
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 5/16-UNC-18,5/16-UNC-18,21.4351
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 5/16-UNC-18,5/16-UNC-18,25.3292
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 3/8-UNC-16,3/8-UNC-16,49.0
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 3/8-UNC-16,3/8-UNC-16,58.156
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 7/16-UNC-14,7/16-UNC-14,93.4453
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 7/16-UNC-14,7/16-UNC-14,110.2453
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 1/2-UNC-12,1/2-UNC-12,141.568
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 1/2-UNC-12,1/2-UNC-12,168.0
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 1/2-UNC-13,1/2-UNC-13,155.7696
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 1/2-UNC-13,1/2-UNC-13,183.68
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 9/16-UNC-12,9/16-UNC-12,303.744
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 9/16-UNC-12,9/16-UNC-12,358.2507
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 5/8-UNC-11,5/8-UNC-11,380.2773
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 5/8-UNC-11,5/8-UNC-11,450.912
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 3/4-UNC-10,3/4-UNC-10,832.16
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 3/4-UNC-10,3/4-UNC-10,987.28
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD NAT 7/8-UNC-9,7/8-UNC-9,1782.9
DIÁMETRO ROSCA METRICA M.A. CANT. SAE1010 RD ZA 7/8-UNC-9,7/8-UNC-9,2067.8
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,3/16,0.3333333333333333
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/16,3/16,0.46875
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/4,1/4,0.2857142857142857
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/16,5/16,0.20833333333333334
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/8,3/8,0.14583333333333334
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16,7/16,0.1
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,1/2,0.11666666666666665
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1/2,1/2,0.06999999999999999
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 9/16,9/16,0.05555555555555555
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5/8,5/8,31.182114285714285
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 3/4,3/4,87.412025
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8,7/8,191.9127
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 1,,587.2957333333334
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 5,,20.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 6,,10.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7,,10.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 8,,4.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 10,,2.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 12,,1.5
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 14,,1.0
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 16,,33.49035
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 18,,80.45428
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 20,,126.715975
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 22,,188.25916666666666
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 24,,292.3191
TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 10,,2.3
