codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
GRO-00--0--0102-3--2,arandela,,1/2,,,,imperial,,natural,66.4558,borroni,ARA GROVER - 1/2 NAT
GRO-00--0--0104-3--2,arandela,,1/4,,,,imperial,,natural,14.4204,borroni,ARA GROVER - 1/4 NAT
GRO-00--0--0304-3--2,arandela,,3/4,,,,imperial,,natural,199.2016,borroni,ARA GROVER - 3/4 NAT
GRO-00--0--0308-3--2,arandela,,3/8,,,,imperial,,natural,33.8151,borroni,ARA GROVER - 3/8 NAT
GRO-00--0--0316-3--2,arandela,,3/16,,,,imperial,,natural,5.3559,borroni,ARA GROVER - 3/16 NAT
GRO-00--0--0508-3--2,arandela,,5/8,,,,imperial,,natural,120.7177,borroni,ARA GROVER - 5/8 NAT
GRO-00--0--0516-3--2,arandela,,5/16,,,,imperial,,natural,23.424,borroni,ARA GROVER - 5/16 NAT
GRO-00--0--0708-3--2,arandela,,7/8,,,,imperial,,natural,309.9183,borroni,ARA GROVER - 7/8 NAT
GRO-00--0--0716-3--2,arandela,,7/16,,,,imperial,,natural,44.4325,borroni,ARA GROVER - 7/16 NAT
GRO-00--0--1000-3--2,arandela,,,,,,otro,,natural,459.405,borroni,ARA GROVER - 1 NAT
GRO-00--0--1102-3--2,arandela,,1 1/2,,,,imperial,,natural,1707.5386,borroni,ARA GROVER - 1 1/2 NAT
GRO-00--0--1104-3--2,arandela,,1 1/4,,,,imperial,,natural,1020.6316,borroni,ARA GROVER - 1 1/4 NAT
GRO-00--0--1108-3--2,arandela,,1 1/8,,,,imperial,,natural,759.9455,borroni,ARA GROVER - 1 1/8 NAT
GRO-01--0--M005-3--2,arandela,,,,,,otro,,natural,5.6623,borroni,ARA GROVER - M 5 NAT
GRO-01--0--M006-3--2,arandela,,,,,,otro,,natural,10.9338,borroni,ARA GROVER - M 6 NAT
GRO-01--0--M007-3--2,arandela,,,,,,otro,,natural,12.1796,borroni,ARA GROVER - M 7 NAT
GRO-01--0--M008-3--2,arandela,,,,,,otro,,natural,18.8432,borroni,ARA GROVER - M 8 NAT
GRO-01--0--M010-3--2,arandela,,,,,,otro,,natural,27.996,borroni,ARA GROVER - M 10 NAT
GRO-01--0--M012-3--2,arandela,,,,,,otro,,natural,42.3305,borroni,ARA GROVER - M 12 NAT
GRO-01--0--M014-3--2,arandela,,,,,,otro,,natural,66.5368,borroni,ARA GROVER - M 14 NAT
GRO-01--0--M016-3--2,arandela,,,,,,otro,,natural,98.624,borroni,ARA GROVER - M 16 NAT
GRO-01--0--M018-3--2,arandela,,,,,,otro,,natural,107.7009,borroni,ARA GROVER - M 18 NAT
GRO-01--0--M020-3--2,arandela,,,,,,otro,,natural,168.2581,borroni,ARA GROVER - M 20 NAT
GRO-01--0--M022-3--2,arandela,,,,,,otro,,natural,182.5935,borroni,ARA GROVER - M 22 NAT
GRO-01--0--M024-3--2,arandela,,,,,,otro,,natural,289.9863,borroni,ARA GROVER - M 24 NAT
PLA-00--0--0102-1--2,arandela,plana,1/2,,,,imperial,,zinc,7702.0,borroni,ARANDELA PLANA - 1/2 ZA
PLA-00--0--0102-3--2,arandela,plana,1/2,,,,imperial,,natural,7274.0,borroni,ARANDELA PLANA - 1/2 NAT
PLA-00--0--0104-1--2,arandela,plana,1/4,,,,imperial,,zinc,10269.0,borroni,ARANDELA PLANA - 1/4 ZA
PLA-00--0--0108-1--2,arandela,,1/8,,,,imperial,,zinc,20539.0,borroni,ARA  PLA - 1/8 ZA
PLA-00--0--0304-1--2,arandela,plana,3/4,,,,imperial,,zinc,7412.0,borroni,ARANDELA PLANA - 3/4 ZA
PLA-00--0--0308-1--2,arandela,plana,3/8,,,,imperial,,zinc,8415.0,borroni,ARANDELA PLANA - 3/8 ZA
PLA-00--0--0308-3--2,arandela,plana,3/8,,,,imperial,,natural,7845.0,borroni,ARANDELA PLANA - 3/8 NAT
PLA-00--0--0316-1--2,arandela,plana,3/16,,,,imperial,,zinc,11696.0,borroni,ARANDELA PLANA - 3/16 ZA
PLA-00--0--0508-1--2,arandela,plana,5/8,,,,imperial,,zinc,7412.0,borroni,ARANDELA PLANA - 5/8 ZA
PLA-00--0--0516-1--2,arandela,plana,5/16,,,,imperial,,zinc,8563.0,borroni,ARANDELA PLANA - 5/16 ZA
PLA-00--0--0516-3--2,arandela,plana,5/16,,,,imperial,,natural,7987.0,borroni,ARANDELA PLANA - 5/16 NAT
PLA-00--0--0532-1--2,arandela,plana,5/32,,,,imperial,,zinc,15974.0,borroni,ARANDELA PLANA - 5/32 ZA
PLA-00--0--0708-1--2,arandela,plana,7/8,,,,imperial,,zinc,7412.0,borroni,ARANDELA PLANA - 7/8 ZA
PLA-00--0--0716-1--2,arandela,plana,7/16,,,,imperial,,zinc,7702.0,borroni,ARANDELA PLANA - 7/16 ZA
PLA-00--0--0716-3--2,arandela,plana,7/16,,,,imperial,,natural,7274.0,borroni,ARANDELA PLANA - 7/16 NAT
