tipo_de_producto,codigo_de_producto,descripcion,unid_de_medida,cant_minimo,precio,fecha_de_vigencia,proveedor,hoja_origen
ARA,GRO-00--0--0102-3--2,ARA GROVER - 1/2 NAT,UN,3000,66.4558,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0104-3--2,ARA GROVER - 1/4 NAT,UN,18000,14.4204,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0304-3--2,ARA GROVER - 3/4 NAT,UN,1000,199.2016,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0308-3--2,ARA GROVER - 3/8 NAT,UN,5000,33.8151,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0316-3--2,ARA GROVER - 3/16 NAT,UN,50000,5.3559,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0508-3--2,ARA GROVER - 5/8 NAT,UN,1800,120.7177,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0516-3--2,ARA GROVER - 5/16 NAT,UN,10000,23.424,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0708-3--2,ARA GROVER - 7/8 NAT,UN,500,309.9183,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--0716-3--2,ARA GROVER - 7/16 NAT,UN,4800,44.4325,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--1000-3--2,ARA GROVER - 1 NAT,UN,250,459.405,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--1102-3--2,ARA GROVER - 1 1/2 NAT,UN,150,1707.5386,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--1104-3--2,ARA GROVER - 1 1/4 NAT,UN,240,1020.6316,2025-09-24,borroni,FIJACIONES
ARA,GRO-00--0--1108-3--2,ARA GROVER - 1 1/8 NAT,UN,300,759.9455,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M005-3--2,ARA GROVER - M 5 NAT,UN,50000,5.6623,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M006-3--2,ARA GROVER - M 6 NAT,UN,20000,10.9338,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M007-3--2,ARA GROVER - M 7 NAT,UN,20000,12.1796,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M008-3--2,ARA GROVER - M 8 NAT,UN,12000,18.8432,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M010-3--2,ARA GROVER - M 10 NAT,UN,7000,27.996,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M012-3--2,ARA GROVER - M 12 NAT,UN,5000,42.3305,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M014-3--2,ARA GROVER - M 14 NAT,UN,3200,66.5368,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M016-3--2,ARA GROVER - M 16 NAT,UN,2000,98.624,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M018-3--2,ARA GROVER - M 18 NAT,UN,2000,107.7009,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M020-3--2,ARA GROVER - M 20 NAT,UN,1000,168.2581,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M022-3--2,ARA GROVER - M 22 NAT,UN,1000,182.5935,2025-09-24,borroni,FIJACIONES
ARA,GRO-01--0--M024-3--2,ARA GROVER - M 24 NAT,UN,500,289.9863,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0102-1--2,ARANDELA PLANA - 1/2 ZA,KG,0,7702.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0102-3--2,ARANDELA PLANA - 1/2 NAT,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0104-1--2,ARANDELA PLANA - 1/4 ZA,KG,0,10269.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0108-1--2,ARA  PLA - 1/8 ZA,KG,0,20539.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0304-1--2,ARANDELA PLANA - 3/4 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0308-1--2,ARANDELA PLANA - 3/8 ZA,KG,0,8415.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0308-3--2,ARANDELA PLANA - 3/8 NAT,KG,0,7845.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0316-1--2,ARANDELA PLANA - 3/16 ZA,KG,0,11696.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0508-1--2,ARANDELA PLANA - 5/8 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0516-1--2,ARANDELA PLANA - 5/16 ZA,KG,0,8563.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0516-3--2,ARANDELA PLANA - 5/16 NAT,KG,0,7987.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0532-1--2,ARANDELA PLANA - 5/32 ZA,KG,0,15974.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0708-1--2,ARANDELA PLANA - 7/8 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0716-1--2,ARANDELA PLANA - 7/16 ZA,KG,0,7702.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0716-3--2,ARANDELA PLANA - 7/16 NAT,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--0916-1--2,ARANDELA PLANA - 9/16 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1000-1--2,ARANDELA PLANA - 1 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1000-2--2,ARANDELA PLANA - 2 ZA,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1102-1--2,ARANDELA PLANA - 1 1/2 ZA,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1104-1--2,ARANDELA PLANA - 1 1/4 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1108-1--2,ARANDELA PLANA - 1 1/8 ZA,KG,0,7412.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1304-1--2,ARANDELA PLANA - 1 3/4 ZA,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
ARAP,PLA-00--0--1308-1--2,ARANDELA PLANA - 1 3/8 ZA,KG,0,7274.0,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--104--100--RT--1--1,BU CAR G2 - 1/4 x 1  ZA,UN,2600,55.6189,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--104--100--RT--2--1,BU CAR G2 - 1/4 x 1  ZD,UN,2600,55.6189,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--104--114--RT--1--1,BU CAR G2 - 1/4 x 1 1/4  ZA,UN,2200,66.0208,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--104--114--RT--2--1,BU CAR G2 - 1/4 x 1 1/4 RT ZD,UN,2200,66.0208,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--104--214--RT--1--1,BU CAR G2 - 1/4 x 2 1/4  ZA,UN,1250,101.6953,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--200--RT--1--1,BU CAR G2 - 3/8 x 2  ZA,UN,650,235.2732,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--212--RT--1--1,BU CAR G2 - 3/8 x 2 1/2  ZA,UN,500,270.5345,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--214--RT--1--1,BU CAR G2 - 3/8 x 2 1/4  ZA,UN,600,246.2644,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--234--RT--1--1,BU CAR G2 - 3/8 x 2 3/4  ZA,UN,500,294.8033,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--300--RT--1--1,BU CAR G2 - 3/8 x 3  ZA,UN,400,315.6032,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--300--RT--2--1,BU CAR G2 - 3/8 x 3  ZD,UN,400,315.6032,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--312--RT--1--1,BU CAR G2 - 3/8 x 3 1/2  ZA,UN,350,364.1389,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--312--RT--2--1,BU CAR G2 - 3/8 x 3 1/2  ZD,UN,350,364.1389,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--314--RT--1--1,BU CAR G2 - 3/8 x 3 1/4  ZA,UN,350,336.4216,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--412--RT--1--1,BU CAR G2 - 3/8 x 4 1/2  ZA,UN,250,425.6209,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--308--500--RT--1--1,BU CAR G2 - 3/8 x 5  ZA,UN,200,466.0782,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--134--RT--1--1,BU CAR G2 - 5/16 x 1 3/4  ZA,UN,1300,143.1913,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--200--RT--1--1,BU CAR G2 - 5/16 x 2  ZA,UN,1000,157.1101,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--200--RT--2--1,BU CAR G2 - 5/16 x 2  ZD,UN,1000,157.1101,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--214--RT--1--1,BU CAR G2 - 5/16 x 2 1/4  ZA,UN,850,171.0127,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--234--RT--1--1,BU CAR G2 - 5/16 x 2 3/4  ZA,UN,700,203.4486,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--300--RT--1--1,BU CAR G2 - 5/16 x 3  ZA,UN,600,217.3523,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--300--RT--2--1,BU CAR G2 - 5/16 x 3  ZD,UN,600,217.3523,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--1--516--314--RT--1--1,BU CAR G2 - 5/16 x 3 1/4  ZA,UN,500,231.103,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--300--RT--1--1,BU CAR G2 - 1/2 x 3 RP ZA,UN,250,580.3417,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--300--RT--2--1,BU CAR G2 - 1/2 x 3 RP ZD,UN,250,580.3417,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--312--RT--1--1,BU CAR G2 - 1/2 x 3 1/2 RP ZA,UN,200,664.8716,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--312--RT--2--1,BU CAR G2 - 1/2 x 3 1/2 RP ZD,UN,200,664.8716,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--500--RT--1--1,BU CAR G2 - 1/2 x 5 RP ZA,UN,130,876.202,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--500--RT--2--1,BU CAR G2 - 1/2 x 5 RP ZD,UN,130,876.202,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--600--RT--1--1,BU CAR G2 - 1/2 x 6 RP ZA,UN,100,1136.848,2025-09-24,borroni,FIJACIONES
BUL,CAR-G2--3--102--700--RT--1--1,BU CAR G2 - 1/2 x 7 RP ZA,UN,80,1273.0165,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--034--RT--1--1,BU CAR C/ TCA. G2 - 1/4 x 3/4 ZA,UN,800,71.078,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--100--RT--1--1,BU CAR C/ TCA. G2 - 1/4 x 1 ZA,UN,800,79.9931,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--112--RT--1--1,BU CAR C/ TCA. G2 - 1/4 x 1 1/2  ZA,UN,800,99.3253,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--114--RT--1--1,BU CAR C/ TCA. G2 - 1/4 x 1 1/4  ZA,UN,800,90.4087,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--134--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 1 3/4 ZA,UN,800,108.1954,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--200--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 2 ZA,UN,800,117.1762,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--212--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 2 1/2 ZA,UN,400,136.4936,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--214--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 2 1/4 ZA,UN,400,126.0892,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--234--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 2 3/4 ZA,UN,400,146.756,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--300--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 3 ZA,UN,400,155.82,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--312--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 3 1/2 ZA,UN,400,176.6342,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--314--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 3 1/4 ZA,UN,400,164.6188,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--104--400--RP--1--1,BU CAR C/ TCA. G2 - 1/4 x 4 ZA,UN,400,191.504,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--100--RT--1--1,BU CAR C/ TCA. G2 - 3/8 x 1 ZA,UN,400,214.1169,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--112--RT--1--1,BU CAR C/ TCA. G2 - 3/8 x 1 1/2 ZA,UN,400,266.5408,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--114--RT--1--1,BU CAR C/ TCA. G2 - 3/8 x 1 1/4 ZA,UN,400,242.3481,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--134--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 1 3/4 ZA,UN,400,277.7863,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--200--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 2 ZA,UN,400,300.693,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--212--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 2 1/2 ZA,UN,400,337.8597,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--214--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 2 1/4 ZA,UN,400,312.2828,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--234--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 2 3/4 ZA,UN,400,363.4372,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--300--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 3 ZA,UN,400,385.3656,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--312--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 3 1/2 ZA,UN,400,436.5356,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--314--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 3 1/4 ZA,UN,400,407.2977,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--400--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 4 ZA,UN,320,464.5115,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--412--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 4 1/2 ZA,UN,320,501.3259,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--500--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 5 ZA,UN,200,543.9813,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--512--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 5 1/2 ZA,UN,200,733.5816,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--600--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 6 ZA,UN,200,803.2239,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--700--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 7 ZA,UN,200,895.4399,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--308--800--RP--1--1,BU CAR C/ TCA. G2 - 3/8 x 8 ZA,UN,200,1010.8273,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--034--RT--1--1,BU CAR C/ TCA. G2 - 5/16 x 3/4 ZA,UN,1200,118.0575,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--100--RT--1--1,BU CAR C/ TCA. G2 - 5/16 x 1 ZA,UN,1100,139.6695,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--112--RT--1--1,BU CAR C/ TCA. G2 - 5/16  x 1 1/2  ZA,UN,900,170.851,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--114--RT--1--1,BU CAR C/ TCA. G2 - 5/16 x 1 1/4 ZA,UN,1000,156.4543,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--134--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 1 3/4 ZA,UN,800,185.225,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--200--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 ZA,UN,400,199.6393,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--212--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 1/2 ZA,UN,400,230.838,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--214--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 1/4 ZA,UN,400,214.0471,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--234--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 3/4 ZA,UN,400,247.6299,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--300--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 3 ZA,UN,400,262.0179,2025-09-24,borroni,FIJACIONES
