codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
101.101.1000,arandela,,02.5,06.0,1.25,,métrico,,,32.4743,efepe,ARANDELA ALUMINIO  02.5  X  06.0  X  1.25 (cant.100)
101.101.1002,arandela,,03.0,10.0,1.25,,métrico,,,44.0238,efepe,ARANDELA ALUMINIO  03.0  X  10.0  X  1.25 (cant.100)
101.101.1001,arandela,,03.5,08.0,1.25,,métrico,,,41.3719,efepe,ARANDELA ALUMINIO  03.5  X  08.0  X  1.25 (cant.100)
101.101.1003,arandela,,04.0,09.0,1.25,,métrico,,,43.077,efepe,ARANDELA ALUMINIO  04.0  X  09.0  X  1.25 (cant.100)
101.101.1004,arandela,,05.0,09.0,1.25,,métrico,,,43.077,efepe,ARANDELA ALUMINIO  05.0  X  09.0  X  1.25 (cant.100)
101.101.1069,arandela,,05.0,12.0,1.25,,métrico,,,51.5978,efepe,ARANDELA ALUMINIO  05.0  X  12.0  X  1.25 (cant.100)
101.101.1005,arandela,,06.0,08.0,1.25,,métrico,,,41.3719,efepe,ARANDELA ALUMINIO  06.0  X  08.0  X  1.25 (cant.100)
101.101.1006,arandela,,06.0,11.0,1.25,,métrico,,,53.112,efepe,ARANDELA ALUMINIO  06.0  X  11.0  X  1.25 (cant.100)
101.101.1007,arandela,,06.5,12.0,1.25,,métrico,,,54.6265,efepe,ARANDELA ALUMINIO  06.5  X  12.0  X  1.25 (cant.100)
101.101.1008,arandela,,06.5,13.0,1.25,,métrico,,,64.758,efepe,ARANDELA ALUMINIO  06.5  X  13.0  X  1.25 (cant.100)
101.101.1009,arandela,,06.5,16.0,1.25,,métrico,,,95.9065,efepe,ARANDELA ALUMINIO  06.5  X  16.0  X  1.25 (cant.100)
101.101.1010,arandela,,06.5,20.0,1.25,,métrico,,,125.1591,efepe,ARANDELA ALUMINIO  06.5  X  20.0  X  1.25 (cant.100)
101.101.1011,arandela,,07.0,10.0,1.25,,métrico,,,44.0238,efepe,ARANDELA ALUMINIO  07.0  X  10.0  x  1.25 (cant.100)
101.101.1012,arandela,,07.0,14.0,1.25,,métrico,,,73.7522,efepe,ARANDELA ALUMINIO  07.0  X  14.0  X  1.25 (cant.100)
101.101.1013,arandela,,08.0,11.0,1.25,,métrico,,,54.6265,efepe,ARANDELA ALUMINIO  08.0  X  11.0  X  1.25 (cant.100)
101.101.1014,arandela,,08.0,13.0,1.25,,métrico,,,40.2367,efepe,ARANDELA ALUMINIO  08.0  X  13.0  X  1.25 (cant.100)
101.101.1015,arandela,,08.0,20.0,1.25,,métrico,,,128.0959,efepe,ARANDELA ALUMINIO  08.0  X  20.0  X  1.25 (cant.100)
101.101.1064,arandela,,08.5,13.5,1.25,,métrico,,,73.7522,efepe,ARANDELA ALUMINIO  08.5  X  13.5  X  1.25 (cant.100)
101.101.1016,arandela,,09.0,13.0,1.25,,métrico,,,53.112,efepe,ARANDELA ALUMINIO  09.0  X  13.0  X  1.25 (cant.100)
101.101.1017,arandela,,09.4,18.0,1.25,,métrico,,,95.9065,efepe,ARANDELA ALUMINIO  09.4  X  18.0  X  1.25 (cant.100)
101.101.1018,arandela,,09.5,14.0,1.25,,métrico,,,73.7522,efepe,ARANDELA ALUMINIO  09.5  X  14.0  X  1.25 (cant.100)
101.101.1019,arandela,,09.5,14.0,2.00,,métrico,,,132.6389,efepe,ARANDELA ALUMINIO  09.5  X  14.0  X  2.00 (cant.100)
101.101.1020,arandela,,10.0,15.0,1.25,,métrico,,,73.7522,efepe,ARANDELA ALUMINIO  10.0  X  15.0  X  1.25 X 50 und.
101.101.1021,arandela,,10.0,19.0,2.00,,métrico,,,206.3911,efepe,ARANDELA ALUMINIO  10.0  X  19.0  X  2.00 X 50 und.
101.101.1022,arandela,,10.0,20.0,1.00,,métrico,,,106.2241,efepe,ARANDELA ALUMINIO  10.0  X  20.0  X  1.00 X 50 und.
101.101.1023,arandela,,10.0,21.0,0.50,,métrico,,,64.758,efepe,ARANDELA ALUMINIO  10.0  X  21.0  X  0.50 X 50 und.
101.101.1024,arandela,,10.0,21.0,1.25,,métrico,,,128.0959,efepe,ARANDELA ALUMINIO  10.0  X  21.0  X  1.25 X 50 und.
101.101.1025,arandela,,10.0,21.0,2.00,,métrico,,,220.8774,efepe,ARANDELA ALUMINIO  10.0  X  21.0  X  2.00 X 50 und.
101.101.1026,arandela,,10.0,25.0,1.25,,métrico,,,162.0822,efepe,ARANDELA ALUMINIO  10.0  X  25.0  X  1.25 X 50 und.
101.101.1070,arandela,,10.0,25.0,2.00,,métrico,,,294.6271,efepe,ARANDELA ALUMINIO  10.0  X  25.0  X  2.00 X 50 und.
101.101.1027,arandela,,11.0,15.0,1.25,,métrico,,,73.7522,efepe,ARANDELA ALUMINIO  11.0  X  15.0  X  1.25 X 50 und.
101.101.1028,arandela,,11.0,20.0,1.25,,métrico,,,125.1591,efepe,ARANDELA ALUMINIO  11.0  X  20.0  X  1.25 X 50 und.
101.101.1029,arandela,,12.0,17.0,1.25,,métrico,,,81.1353,efepe,ARANDELA ALUMINIO  12.0  X  17.0  X  1.25 X 50 und.
101.101.1030,arandela,,12.0,24.0,1.25,,métrico,,,162.0822,efepe,ARANDELA ALUMINIO  12.0  X  24.0  X  1.25 X 50 und.
101.101.1031,arandela,,12.7,20.0,1.25,,métrico,,,117.776,efepe,ARANDELA ALUMINIO  12.7  X  20.0  X  1.25 X 50 und.
101.101.1032,arandela,,13.0,20.0,1.25,,métrico,,,95.9065,efepe,ARANDELA ALUMINIO  13.0  X  20.0  X  1.25 X 50 und.
101.101.1033,arandela,,14.0,20.0,1.25,,métrico,,,88.5209,efepe,ARANDELA ALUMINIO  14.0  X  20.0  X  1.25X 50 und.
101.101.1034,arandela,,14.0,20.0,2.00,,métrico,,,191.528,efepe,ARANDELA ALUMINIO  14.0  X  20.0  X  2.00 X 50 und.
101.101.1035,arandela,,14.5,20.0,1.25,,métrico,,,117.776,efepe,ARANDELA ALUMINIO  14.5  X  20.0  X  1.25 X 50 und.
101.101.1036,arandela,,15.0,21.0,1.25,,métrico,,,125.1591,efepe,ARANDELA ALUMINIO  15.0  X  21.0  X  1.25 X 50 und.
101.101.1037,arandela,,16.0,19.0,1.25,,métrico,,,110.6753,efepe,ARANDELA ALUMINIO  16.0  X  19.0  X  1.25 X 50 und.
101.101.1038,arandela,,16.0,24.0,1.25,,métrico,,,147.5042,efepe,ARANDELA ALUMINIO  16.0  X  24.0  X  1.25 X 50 und.
101.101.1039,arandela,,17.0,24.0,1.25,,métrico,,,162.0822,efepe,ARANDELA ALUMINIO  17.0  X  24.0  X  1.25 X 50 und.
