codigo,descripcion,precio_unitario,proveedor
,,,efepe
Marca: ARANDELAS,,,efepe
,Rubro: A  ARANDELA ALUMINIO,,efepe
101.101.1000,ARANDELA ALUMINIO  02.5  X  06.0  X  1.25 (cant.100),32.4743,efepe
101.101.1002,ARANDELA ALUMINIO  03.0  X  10.0  X  1.25 (cant.100),44.0238,efepe
101.101.1001,ARANDELA ALUMINIO  03.5  X  08.0  X  1.25 (cant.100),41.3719,efepe
101.101.1003,ARANDELA ALUMINIO  04.0  X  09.0  X  1.25 (cant.100),43.077,efepe
101.101.1004,ARANDELA ALUMINIO  05.0  X  09.0  X  1.25 (cant.100),43.077,efepe
101.101.1069,ARANDELA ALUMINIO  05.0  X  12.0  X  1.25 (cant.100),51.5978,efepe
101.101.1005,ARANDELA ALUMINIO  06.0  X  08.0  X  1.25 (cant.100),41.3719,efepe
101.101.1006,ARANDELA ALUMINIO  06.0  X  11.0  X  1.25 (cant.100),53.112,efepe
101.101.1007,ARANDELA ALUMINIO  06.5  X  12.0  X  1.25 (cant.100),54.6265,efepe
101.101.1008,ARANDELA ALUMINIO  06.5  X  13.0  X  1.25 (cant.100),64.758,efepe
101.101.1009,ARANDELA ALUMINIO  06.5  X  16.0  X  1.25 (cant.100),95.9065,efepe
101.101.1010,ARANDELA ALUMINIO  06.5  X  20.0  X  1.25 (cant.100),125.1591,efepe
101.101.1011,ARANDELA ALUMINIO  07.0  X  10.0  x  1.25 (cant.100),44.0238,efepe
101.101.1012,ARANDELA ALUMINIO  07.0  X  14.0  X  1.25 (cant.100),73.7522,efepe
101.101.1013,ARANDELA ALUMINIO  08.0  X  11.0  X  1.25 (cant.100),54.6265,efepe
101.101.1014,ARANDELA ALUMINIO  08.0  X  13.0  X  1.25 (cant.100),40.2367,efepe
101.101.1015,ARANDELA ALUMINIO  08.0  X  20.0  X  1.25 (cant.100),128.0959,efepe
101.101.1064,ARANDELA ALUMINIO  08.5  X  13.5  X  1.25 (cant.100),73.7522,efepe
101.101.1016,ARANDELA ALUMINIO  09.0  X  13.0  X  1.25 (cant.100),53.112,efepe
101.101.1017,ARANDELA ALUMINIO  09.4  X  18.0  X  1.25 (cant.100),95.9065,efepe
101.101.1018,ARANDELA ALUMINIO  09.5  X  14.0  X  1.25 (cant.100),73.7522,efepe
101.101.1019,ARANDELA ALUMINIO  09.5  X  14.0  X  2.00 (cant.100),132.6389,efepe
101.101.1020,ARANDELA ALUMINIO  10.0  X  15.0  X  1.25 X 50 und.,73.7522,efepe
101.101.1021,ARANDELA ALUMINIO  10.0  X  19.0  X  2.00 X 50 und.,206.3911,efepe
101.101.1022,ARANDELA ALUMINIO  10.0  X  20.0  X  1.00 X 50 und.,106.2241,efepe
101.101.1023,ARANDELA ALUMINIO  10.0  X  21.0  X  0.50 X 50 und.,64.758,efepe
101.101.1024,ARANDELA ALUMINIO  10.0  X  21.0  X  1.25 X 50 und.,128.0959,efepe
101.101.1025,ARANDELA ALUMINIO  10.0  X  21.0  X  2.00 X 50 und.,220.8774,efepe
101.101.1026,ARANDELA ALUMINIO  10.0  X  25.0  X  1.25 X 50 und.,162.0822,efepe
101.101.1070,ARANDELA ALUMINIO  10.0  X  25.0  X  2.00 X 50 und.,294.6271,efepe
101.101.1027,ARANDELA ALUMINIO  11.0  X  15.0  X  1.25 X 50 und.,73.7522,efepe
101.101.1028,ARANDELA ALUMINIO  11.0  X  20.0  X  1.25 X 50 und.,125.1591,efepe
101.101.1029,ARANDELA ALUMINIO  12.0  X  17.0  X  1.25 X 50 und.,81.1353,efepe
101.101.1030,ARANDELA ALUMINIO  12.0  X  24.0  X  1.25 X 50 und.,162.0822,efepe
101.101.1031,ARANDELA ALUMINIO  12.7  X  20.0  X  1.25 X 50 und.,117.776,efepe
101.101.1032,ARANDELA ALUMINIO  13.0  X  20.0  X  1.25 X 50 und.,95.9065,efepe
101.101.1033,ARANDELA ALUMINIO  14.0  X  20.0  X  1.25X 50 und.,88.5209,efepe
101.101.1034,ARANDELA ALUMINIO  14.0  X  20.0  X  2.00 X 50 und.,191.528,efepe
101.101.1035,ARANDELA ALUMINIO  14.5  X  20.0  X  1.25 X 50 und.,117.776,efepe
101.101.1036,ARANDELA ALUMINIO  15.0  X  21.0  X  1.25 X 50 und.,125.1591,efepe
101.101.1037,ARANDELA ALUMINIO  16.0  X  19.0  X  1.25 X 50 und.,110.6753,efepe
101.101.1038,ARANDELA ALUMINIO  16.0  X  24.0  X  1.25 X 50 und.,147.5042,efepe
101.101.1039,ARANDELA ALUMINIO  17.0  X  24.0  X  1.25 X 50 und.,162.0822,efepe
101.101.1040,ARANDELA ALUMINIO  18.0  X  23.0  X  1.25 X 50 und.,132.6389,efepe
101.101.1041,ARANDELA ALUMINIO  19.0  X  23.0  X  1.25 X 50 und.,147.5042,efepe
101.101.1042,ARANDELA ALUMINIO  20.0  X  26.0  X  1.25 x 50 und.,162.0822,efepe
