codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,otro,precio_unitario,proveedor,descripcion
1040000000D0012,bulón,1/4,,1/2,,imperial,34.32133899432,fleb,Bulon G2 Hex UNC 1/4 1/2
1040000000D0016,bulón,1/4,,5/8,,imperial,36.297194330880004,fleb,Bulon G2 Hex UNC 1/4 5/8
1040000000D0019,bulón,1/4,,3/4,,imperial,37.175352258240004,fleb,Bulon G2 Hex UNC 1/4 3/4
1040000000D0022,bulón,1/4,,7/8,,imperial,41.93204103144,fleb,Bulon G2 Hex UNC 1/4 7/8
1040000000D0025,bulón,1/4,,1,,imperial,44.932413949920004,fleb,Bulon G2 Hex UNC 1/4 1
1040000000D0032,bulón,1/4,,1,,imperial,52.689475641600005,fleb,Bulon G2 Hex UNC 1/4 1 1/4
1040000000D0038,bulón,1/4,,1,,imperial,61.617414569759994,fleb,Bulon G2 Hex UNC 1/4 1 1/2
1040000000D0044,bulón,1/4,,1,,imperial,70.22819664212211,fleb,Bulon G2 Hex UNC 1/4 1 3/4
1040000000D0050,bulón,1/4,,2,,imperial,79.10739328968,fleb,Bulon G2 Hex UNC 1/4 2
1040000000D0056,bulón,1/4,,2,,imperial,91.03570513631999,fleb,Bulon G2 Hex UNC 1/4 2 1/4
1040000000D0063,bulón,1/4,,2,,imperial,98.35368786432,fleb,Bulon G2 Hex UNC 1/4 2 1/2
1040000000D0070,bulón,1/4,,2,,imperial,107.11900495408,fleb,Bulon G2 Hex UNC 1/4 2 3/4
1040000000D0076,bulón,1/4,,3,,imperial,116.13638589336,fleb,Bulon G2 Hex UNC 1/4 3
1040000000D0082,bulón,1/4,,3,,imperial,124.84478533968,fleb,Bulon G2 Hex UNC 1/4 3 1/4
1040000000D0090,bulón,1/4,,3,,imperial,133.91908392240003,fleb,Bulon G2 Hex UNC 1/4 3 1/2
1040000000D0100,bulón,1/4,,4,,imperial,154.33625573352003,fleb,Bulon G2 Hex UNC 1/4 4
1040000000D0110,bulón,1/4,,4,,imperial,175.99748460840004,fleb,Bulon G2 Hex UNC 1/4 4 1/2
1040000000D0125,bulón,1/4,,5,,imperial,190.56027023712,fleb,Bulon G2 Hex UNC 1/4 5
1040000000D0140,bulón,1/4,,5,,imperial,208.67304417705887,fleb,Bulon G2 Hex UNC 1/4 5 1/2
1040000000D0155,bulón,1/4,,6,,imperial,181.42865449359812,fleb,Bulon G2 Hex UNC 1/4 6
1040000000E0012,bulón,5/16,,1/2,,imperial,54.07989235992,fleb,Bulon G2 Hex UNC 5/16 1/2
1040000000E0016,bulón,5/16,,5/8,,imperial,57.958423205760006,fleb,Bulon G2 Hex UNC 5/16 5/8
1040000000E0019,bulón,5/16,,3/4,,imperial,58.98294078768,fleb,Bulon G2 Hex UNC 5/16 3/4
1040000000E0022,bulón,5/16,,7/8,,imperial,65.34958576104,fleb,Bulon G2 Hex UNC 5/16 7/8
1040000000E0025,bulón,5/16,,1,,imperial,69.22811660688,fleb,Bulon G2 Hex UNC 5/16 1
1040000000E0032,bulón,5/16,,1,,imperial,82.40048551728002,fleb,Bulon G2 Hex UNC 5/16 1 1/4
1040000000E0038,bulón,5/16,,1,,imperial,93.81653857296001,fleb,Bulon G2 Hex UNC 5/16 1 1/2
1040000000E0044,bulón,5/16,,1,,imperial,109.0379426472,fleb,Bulon G2 Hex UNC 5/16 1 3/4
1040000000E0050,bulón,5/16,,2,,imperial,119.79537725736002,fleb,Bulon G2 Hex UNC 5/16 2
1040000000E0056,bulón,5/16,,2,,imperial,132.55308203819243,fleb,Bulon G2 Hex UNC 5/16 2 1/4
1040000000E0063,bulón,5/16,,2,,imperial,151.26270298776,fleb,Bulon G2 Hex UNC 5/16 2 1/2
1040000000E0070,bulón,5/16,,2,,imperial,161.43469897967998,fleb,Bulon G2 Hex UNC 5/16 2 3/4
1040000000E0076,bulón,5/16,,3,,imperial,174.60706789008003,fleb,Bulon G2 Hex UNC 5/16 3
1040000000E0082,bulón,5/16,,3,,imperial,202.38173953593122,fleb,Bulon G2 Hex UNC 5/16 3 1/4
1040000000E0090,bulón,5/16,,3,,imperial,200.80544605632,fleb,Bulon G2 Hex UNC 5/16 3 1/2
1040000000E0100,bulón,5/16,,4,,imperial,227.2233637044,fleb,Bulon G2 Hex UNC 5/16 4
1040000000E0110,bulón,5/16,,4,,imperial,253.5681015252,fleb,Bulon G2 Hex UNC 5/16 4 1/2
1040000000E0125,bulón,5/16,,5,,imperial,279.76647969144,fleb,Bulon G2 Hex UNC 5/16 5
1040000000E0140,bulón,5/16,,5,,imperial,306.18497555746535,fleb,Bulon G2 Hex UNC 5/16 5 1/2
1040000000E0155,bulón,5/16,,6,,imperial,332.3338949350619,fleb,Bulon G2 Hex UNC 5/16 6
1040000000E0175,bulón,5/16,,7,,imperial,422.37200911197607,fleb,Bulon G2 Hex UNC 5/16 7
1040000000E0200,bulón,5/16,,8,,imperial,453.93446861784,fleb,Bulon G2 Hex UNC 5/16 8
1040000000F0012,bulón,3/8,,1/2,,imperial,82.18094603544002,fleb,Bulon G2 Hex UNC 3/8 1/2
1040000000F0016,bulón,3/8,,5/8,,imperial,94.95273026819461,fleb,Bulon G2 Hex UNC 3/8 5/8
1040000000F0019,bulón,3/8,,3/4,,imperial,100.52897850000001,fleb,Bulon G2 Hex UNC 3/8 3/4
1040000000F0022,bulón,3/8,,7/8,,imperial,109.27062880434782,fleb,Bulon G2 Hex UNC 3/8 7/8
1040000000F0025,bulón,3/8,,1,,imperial,102.01267922832001,fleb,Bulon G2 Hex UNC 3/8 1
1040000000F0032,bulón,3/8,,1,,imperial,118.91721933000001,fleb,Bulon G2 Hex UNC 3/8 1 1/4
1040000000F0038,bulón,3/8,,1,,imperial,135.38268046800002,fleb,Bulon G2 Hex UNC 3/8 1 1/2
