codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_granel,precio_fraccionado,proveedor,descripcion
1040000000D0012,bulón,hexagonal,1/4,,1/2,G2,imperial,UNC,,34.32133899432,36.380619333979205,efepe,Bulon G2 Hex UNC 1/4 1/2
1040000000D0016,bulón,hexagonal,1/4,,5/8,G2,imperial,UNC,,36.29719433088,38.4750259907328,efepe,Bulon G2 Hex UNC 1/4 5/8
1040000000D0019,bulón,hexagonal,1/4,,3/4,G2,imperial,UNC,,37.17535225824,39.4058733937344,efepe,Bulon G2 Hex UNC 1/4 3/4
1040000000D0022,bulón,hexagonal,1/4,,7/8,G2,imperial,UNC,,41.93204103144,44.4479634933264,efepe,Bulon G2 Hex UNC 1/4 7/8
1040000000D0025,bulón,hexagonal,1/4,,1,G2,imperial,UNC,,44.93241394992,47.62835878691521,efepe,Bulon G2 Hex UNC 1/4 1
1040000000D0032,bulón,hexagonal,1/4,,1 1/4,G2,imperial,UNC,,52.689475641600005,55.850844180096,efepe,Bulon G2 Hex UNC 1/4 1 1/4
1040000000D0038,bulón,hexagonal,1/4,,1 1/2,G2,imperial,UNC,,61.61741456976,65.3144594439456,efepe,Bulon G2 Hex UNC 1/4 1 1/2
1040000000D0044,bulón,hexagonal,1/4,,1 3/4,G2,imperial,UNC,,70.22819664212211,74.44188844064944,efepe,Bulon G2 Hex UNC 1/4 1 3/4
1040000000D0050,bulón,hexagonal,1/4,,2,G2,imperial,UNC,,79.10739328968,83.85383688706081,efepe,Bulon G2 Hex UNC 1/4 2
1040000000D0056,bulón,hexagonal,1/4,,2 1/4,G2,imperial,UNC,,91.03570513632,96.4978474444992,efepe,Bulon G2 Hex UNC 1/4 2 1/4
1040000000D0063,bulón,hexagonal,1/4,,2 1/2,G2,imperial,UNC,,98.35368786432,104.2549091361792,efepe,Bulon G2 Hex UNC 1/4 2 1/2
