codigo,descripcion_original,descripcion_borroni
Codigo,Descripcion,
>1,.,
>2,Articulos varios,
>3,"Articulos varios al 10,5%",
>4,Servicios,
>5,Honorarios,
>1000,Saldo inicial,
>1001,Comision por cheque rechazado,
>1002,Viaticos,
>1003,Descuentos,
>1004,Generacion automatica de N/D por Rechazo de Cheque,
>BHG2NC079025Z,BULON HEXAGONAL G2 5/16-UNC-1/ ZINC,
>TUAAG2NC031Z,TUERCA AUTOFR. ALTA G2 1/8-UNC(40) ZINC,
>TUAAG2NC039Z,TUERCA AUTOFR. ALTA G2 5/32-UNC(32) ZINC,
>TUAAG2NC047Z,TUERCA AUTOFR. ALTA G2 3/16-UNC(24) ZINC,
>TUAAG2NC065Z,TUERCA AUTOFR. ALTA G2 1/4-UNC(20) ZINC,
>TUAAG2NC079Z,TUERCA AUTOFR. ALTA G2 5/16-UNC(18) ZINC,
>TUAAG2NC095Z,TUERCA AUTOFR. ALTA G2 3/8-UNC(16) ZINC,
>TUAAG2NC110Z,TUERCA AUTOFR. ALTA G2 7/16-UNC(14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
>TUAAG2NC125Z,TUERCA AUTOFR. ALTA G2 1/2-UNC(13) ZINC,
>TUAAG2WH125Z,TUERCA AUTOFR. ALTA G2 1/2-WHT(12) ZINC,
>TUAAG2NC140Z,TUERCA AUTOFR. ALTA G2 9/16-UNC(12) ZINC,
>TUAAG2NC160Z,TUERCA AUTOFR. ALTA G2 5/8-UNC(11) ZINC,
>TUAAG2NC190Z,TUERCA AUTOFR. ALTA G2 3/4-UNC(10) ZINC,
>TUAAG2NC220Z,TUERCA AUTOFR. ALTA G2 7/8-UNC(9) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
>TUAAG2NC250Z,TUERCA AUTOFR. ALTA G2 1-UNC(8) ZINC,
>TUAAG2NC285Z,"TUERCA AUTOFR. ALTA G2 1,1/8-UNC(7) ZINC",
>TUAAG2NC317Z,"TUERCA AUTOFR. ALTA G2 1,1/4-UNC(7) ZINC",
>TUAAG2NC381Z,"TUERCA AUTOFR. ALTA G2 1,1/2-UNC(6) ZINC",
>TUAAG2NF065Z,TUERCA AUTOFR. ALTA G2 1/4-UNF(28) ZINC,
>TUAAG2NF079Z,TUERCA AUTOFR. ALTA G2 5/16-UNF(24) ZINC,
>TUAAG2NF095Z,TUERCA AUTOFR. ALTA G2 3/8-UNF(24) ZINC,
>TUAAG2NF110Z,TUERCA AUTOFR. ALTA G2 7/16-UNF(20) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
>TUAAG2NF125Z,TUERCA AUTOFR. ALTA G2 1/2-UNF(20) ZINC,
>TUAAG2NF140Z,TUERCA AUTOFR. ALTA G2 9/16-UNF(18) ZINC,
>TUAAG2NF160Z,TUERCA AUTOFR. ALTA G2 5/8-UNF(18) ZINC,
>TUAAG2NF190Z,TUERCA AUTOFR. ALTA G2 3/4-UNF(16) ZINC,
>TUAAG2NF220Z,TUERCA AUTOFR. ALTA G2 7/8-UNF(14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
>TUAAG2NF250Z,TUERCA AUTOFR. ALTA G2 1-UNF(14) ZINC,
>TUAAG2NF285Z,"TUERCA AUTOFR. ALTA G2 1,1/8-UNF(12) ZINC",
>TUAAG2NF317Z,"TUERCA AUTOFR. ALTA G2 1,1/4-UNF(12) ZINC",
>TUAAG2NF381Z,"TUERCA AUTOFR. ALTA G2 1,1/2-UNF(12) ZINC",
>TUABG2MA03D,"TUERCA AUTOFR.BAJA G2 M3-0,5 DICRO",
>TUABG2MA04D,"TUERCA AUTOFR.BAJA G2 M4-0,7 DICRO",
>TUABG2MA05D,"TUERCA AUTOFR.BAJA G2 M5-0,8 DICRO",
>TUABG2MA06D,TUERCA AUTOFR.BAJA G2 M6-1 DICRO,
>TUABG2MA07D,TUERCA AUTOFR.BAJA G2 M7-1 DICRO,
