id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
AG125N,ARANDELA GROWER 1/2 NAT,arandela,1/2,,,natural,GRO-00--0--0102-3--2,arandela,1/2,,,natural,66.4558,Borroni,ARA GROVER - 1/2 NAT,100.0,82.93,93.17
AG065N,ARANDELA GROWER 1/4 NAT,arandela,1/4,,,natural,GRO-00--0--0104-3--2,arandela,1/4,,,natural,14.4204,Borroni,ARA GROVER - 1/4 NAT,100.0,82.93,93.17
AG190N,ARANDELA GROWER 3/4 NAT,arandela,3/4,,,natural,GRO-00--0--0304-3--2,arandela,3/4,,,natural,199.2016,Borroni,ARA GROVER - 3/4 NAT,100.0,82.93,93.17
AG095N,ARANDELA GROWER 3/8 NAT,arandela,3/8,,,natural,GRO-00--0--0308-3--2,arandela,3/8,,,natural,33.8151,Borroni,ARA GROVER - 3/8 NAT,100.0,82.93,93.17
AG047N,ARANDELA GROWER 3/16 NAT,arandela,3/16,,,natural,GRO-00--0--0316-3--2,arandela,3/16,,,natural,5.3559,Borroni,ARA GROVER - 3/16 NAT,100.0,83.72,93.49
AG160N,ARANDELA GROWER 5/8 NAT,arandela,5/8,,,natural,GRO-00--0--0508-3--2,arandela,5/8,,,natural,120.7177,Borroni,ARA GROVER - 5/8 NAT,100.0,82.93,93.17
AG079N,ARANDELA GROWER 5/16 NAT,arandela,5/16,,,natural,GRO-00--0--0516-3--2,arandela,5/16,,,natural,23.424,Borroni,ARA GROVER - 5/16 NAT,100.0,83.72,93.49
AG220N,ARANDELA GROWER 7/8 NAT,arandela,7/8,,,natural,GRO-00--0--0708-3--2,arandela,7/8,,,natural,309.9183,Borroni,ARA GROVER - 7/8 NAT,100.0,82.93,93.17
AG110N,ARANDELA GROWER 7/16 NAT,arandela,7/16,,,natural,GRO-00--0--0716-3--2,arandela,7/16,,,natural,44.4325,Borroni,ARA GROVER - 7/16 NAT,100.0,83.72,93.49
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,GRO-00--0--1000-3--2,arandela,,,,natural,459.405,Borroni,ARA GROVER - 1 NAT,100.0,81.08,92.43
AG375N,ARANDELA GROWER 1 1/2 NAT,arandela,1 1/2,,,natural,GRO-00--0--1102-3--2,arandela,1 1/2,,,natural,1707.5386,Borroni,ARA GROVER - 1 1/2 NAT,100.0,84.44,93.78
AG315N,ARANDELA GROWER 1 1/4 NAT,arandela,1 1/4,,,natural,GRO-00--0--1104-3--2,arandela,1 1/4,,,natural,1020.6316,Borroni,ARA GROVER - 1 1/4 NAT,100.0,84.44,93.78
AG281N,ARANDELA GROWER 1 1/8 NAT,arandela,1 1/8,,,natural,GRO-00--0--1108-3--2,arandela,1 1/8,,,natural,759.9455,Borroni,ARA GROVER - 1 1/8 NAT,100.0,84.44,93.78
AG160N,ARANDELA GROWER 5/8 NAT,arandela,5/8,,,natural,GRO-01--0--M005-3--2,arandela,,,,natural,5.6623,Borroni,ARA GROVER - M 5 NAT,100.0,73.17,89.27
AG003N,ARANDELA GROWER M03 NAT,arandela,M03,,,natural,GRO-01--0--M006-3--2,arandela,,,,natural,10.9338,Borroni,ARA GROVER - M 6 NAT,100.0,73.17,89.27
AG220N,ARANDELA GROWER 7/8 NAT,arandela,7/8,,,natural,GRO-01--0--M007-3--2,arandela,,,,natural,12.1796,Borroni,ARA GROVER - M 7 NAT,100.0,73.17,89.27
AG031N,ARANDELA GROWER 1/8 NAT,arandela,1/8,,,natural,GRO-01--0--M008-3--2,arandela,,,,natural,18.8432,Borroni,ARA GROVER - M 8 NAT,100.0,73.17,89.27
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,GRO-01--0--M010-3--2,arandela,,,,natural,27.996,Borroni,ARA GROVER - M 10 NAT,100.0,75.0,90.0
AG125N,ARANDELA GROWER 1/2 NAT,arandela,1/2,,,natural,GRO-01--0--M012-3--2,arandela,,,,natural,42.3305,Borroni,ARA GROVER - M 12 NAT,100.0,76.19,90.48
AG065N,ARANDELA GROWER 1/4 NAT,arandela,1/4,,,natural,GRO-01--0--M014-3--2,arandela,,,,natural,66.5368,Borroni,ARA GROVER - M 14 NAT,100.0,76.19,90.48
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,GRO-01--0--M016-3--2,arandela,,,,natural,98.624,Borroni,ARA GROVER - M 16 NAT,100.0,75.0,90.0
AG031N,ARANDELA GROWER 1/8 NAT,arandela,1/8,,,natural,GRO-01--0--M018-3--2,arandela,,,,natural,107.7009,Borroni,ARA GROVER - M 18 NAT,100.0,76.19,90.48
AG125N,ARANDELA GROWER 1/2 NAT,arandela,1/2,,,natural,GRO-01--0--M020-3--2,arandela,,,,natural,168.2581,Borroni,ARA GROVER - M 20 NAT,100.0,71.43,88.57
