id_proveedor,descripcion_proveedor,tipo_proveedor,score_final,proveedor
TIR-00--1--104--214--RT--1--2,BU TIR - 1/4  x 2 1/4  ZA,bulón,67.26,Borroni
TIR-00--1--104--318--RT--1--2,BU TIR - 1/4  x 3 1/8  ZA,bulón,68.69,Borroni
TIR-00--1--316--114--RT--1--2,BU TIR - 3/16 x 1 1/4 ZA,bulón,69.94,Borroni
TIR-00--1--516--114--RT--1--2,BU TIR - 5/16  x 1 1/4  ZA,bulón,69.94,Borroni
TIR-00--1--516--214--RT--1--2,BU TIR - 5/16  x 2 1/4 ZA,bulón,69.94,Borroni
TIR-00--1--516--318--RT--1--2,BU TIR - 5/16  x 3 1/8 ZA,bulón,69.69,Borroni
TIR-38--1--316--112--RT--1--2,BU TIR -3/16 X 1 1/2 (LLAVE3/8) ZA,bulón,68.28,Borroni
TIR-38--1--316--114--RT--1--2,BU TIR -3/16 X 1 1/4  (LLAVE3/8) ZA,bulón,67.15,Borroni
TIR-38--1--316--134--RT--1--2,BU TIR -3/16 X 1 3/4 (LLAVE3/8) ZA,bulón,68.28,Borroni
TIR-38--1--316--214--RT--1--2,BU TIR-3/16 X 2 1/4 (LLAVE 3/8) ZA,bulón,68.0,Borroni
TIR-38--1--316--238--RT--1--2,BU TIR-3/16 X 2 3/8 (LLAVE 3/8) ZA,bulón,68.0,Borroni
FPM-39--111,"PAN FRAMING PUNTA MECHA 7 X 7/16 (3,9 X 11,1)",otro,40.67,Borroni
HAM-48--190,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 10 x 3/4 (4,8 x 19)",cabezal,43.96,Borroni
HAM-55--190,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 12 x 3/4 (5,5 x 19)",cabezal,43.96,Borroni
HAM-55--250,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 12 x 1 (5,5 X 25)",cabezal,42.11,Borroni
HAM-55--380,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 12 X 1 1/2 (5,5 X 38)",cabezal,44.55,Borroni
HAM-55--500,"CAB HEX ARA  AC C/NEOPRENE VULC PUNTA MECHA 12 X 2 (5,5 X 50)",cabezal,41.29,Borroni
HAM-55--625,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 12 X 2 1/2 (5,5 X 62,5)",cabezal,44.17,Borroni
HAM-63--190,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 14 X 3/4 (6,3 X 19)",cabezal,58.96,Borroni
HAM-63--250,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 14 X 1 (6,3 X 25)",cabezal,42.11,Borroni
HAM-63--380,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 14 X 1 1/2 (6,3 X 38)",cabezal,59.55,Borroni
HAM-63--500,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 14 X 2 (6,3 X 50)",cabezal,41.46,Borroni
HAM-63--625,"CAB HEX ARA AC C/NEOPRENE VULC PUNTA MECHA 14 X 2 1/2 (6,3 X 62,5)",cabezal,47.96,Borroni
HFM-42--130,"CAB HEX SIMPLE ARA FIJA PUNTA MECHA 8 x 1/2 (4,2 x 13)",cabezal,55.16,Borroni
HFM-42--190,"CAB HEX SIMPLE ARA FIJA PUNTA MECHA 8 x 3/4 (4,2 x 19)",cabezal,44.19,Borroni
HFM-42--250,"CAB HEX SIMPLE ARA FIJA PUNTA MECHA 8 x 1 (4,2 x 25)",cabezal,41.1,Borroni
HFM-48--190,"CAB HEX SIMPLE ARA FIJA PUNTA MECHA 10 x 3/4 (4,8 x 19)",cabezal,44.34,Borroni
HRM-14--112,CAB HEX RM PTA AGUJA C/ARA EPDM  PTA 17 -14 X 1 1/2,clavo,58.82,Borroni
TDP-35--250,DRYWALL PHILLIPS 3.5 x 25.0,tornillo_drywall,51.29,Borroni
TDP-35--320,DRYWALL PHILLIPS 3.5 x 32.0,tornillo_drywall,37.44,Borroni
TDP-35--350,DRYWALL PHILLIPS 3.5 x 35.0,tornillo_drywall,51.29,Borroni
TDP-35--380,DRYWALL PHILLIPS 3.5 x 38.0,tornillo_drywall,37.44,Borroni
TDP-35--420,DRYWALL PHILLIPS 3.5 x 42.0,tornillo_drywall,37.44,Borroni
TDP-35--450,DRYWALL PHILLIPS 3.5 x 45.0,tornillo_drywall,51.29,Borroni
TDP-35--500,DRYWALL PHILLIPS 3.5 x 50.0,tornillo_drywall,51.29,Borroni
TPA-42--130,"CAB TANQUE PUNTA AGUJA 8 X 1/2 (4,2 X 13)",clavo,62.29,Borroni
TPA-42--190,"CAB  TANQUE PUNTA AGUJA 8 X 3/4 (4,2 X 19)",clavo,62.15,Borroni
TPM-42--130,"CAB TANQUE  PUNTA MECHA 8 x 1/2 (4,2 x 13)",cabezal,53.46,Borroni
TPM-42--190,"CAB TANQUE PUNTA MECHA 8 x 3/4 (4,2 x 19)",cabezal,44.21,Borroni
TPM-42--250,"CAB TANQUE PUNTA MECHA 8 x 1 (4,2 x 25)",cabezal,21.82,Borroni
TPM-48--190,"CAB TANQUE PUNTA MECHA 10 x 3/4 (4,8 x 19)",cabezal,44.19,Borroni
TPM-48--250,"CAB TANQUE PUNTA MECHA 10 x 1 (4,8 x 25)",cabezal,21.49,Borroni
TPM-48--320,"CAB TANQUE PUNTA MECHA 10 x 1 1/4 (4,8 x 32)",cabezal,44.21,Borroni
TRG-35--160,DRYWALL PHILLIPS 6 X 5/8 RG,tornillo_drywall,49.28,Borroni
TRG-35--190,DRYWALL PHILLIPS 6 X 3/4 RG,tornillo_drywall,30.0,Borroni
TRG-35--250,DRYWALL PHILLIPS 6 X 1  RG,tornillo_drywall,43.26,Borroni
TRG-35--320,DRYWALL PHILLIPS 6 X 1 1/4 RG,tornillo_drywall,37.44,Borroni
TRG-35--380,DRYWALL PHILLIPS 6 x 1 1/2 RG,tornillo_drywall,38.46,Borroni
TRG-35--420,DRYWALL PHILLIPS 6 X 1 5/8 RG,tornillo_drywall,37.44,Borroni
TRG-35--450,DRYWALL PHILLIPS 6 X 1 3/4 RG,tornillo_drywall,42.5,Borroni
TRG-35--500,DRYWALL PHILLIPS 6 X 2 RG,tornillo_drywall,41.78,Borroni
TRG-35--550,DRYWALL PHILLIPS 6 X 2 1/4 RG,tornillo_drywall,37.44,Borroni
TRG-39--650,DRYWALL PHILLIPS 7 X 2 1/2 RG,tornillo_drywall,30.64,Borroni
TRG-42--250,DRYWALL PHILLIPS 8 X 1 RG,tornillo_drywall,42.11,Borroni
TRG-42--320,DRYWALL PHILLIPS 8 X 1 1/4 RG,tornillo_drywall,31.87,Borroni
TRG-42--380,DRYWALL PHILLIPS 8 X 1 1/2 RG,tornillo_drywall,31.87,Borroni
TRG-42--420,DRYWALL PHILLIPS 8 X 1 5/8 RG,tornillo_drywall,42.25,Borroni
TRG-42--450,DRYWALL PHILLIPS 8 X 1 3/4 RG,tornillo_drywall,42.5,Borroni
TRG-42--500,DRYWALL PHILLIPS 8 X 2 RG,tornillo_drywall,42.11,Borroni
TRG-42--650,DRYWALL PHILLIPS 8 X 2 1/2 RG,tornillo_drywall,30.64,Borroni
TRG-42--750,DRYWALL PHILLIPS 8 X 3 RG,tornillo_drywall,42.11,Borroni
