id_proveedor,descripcion_proveedor,tipo_proveedor,score_final,proveedor
101.103.1050,ARANDELA FIBRA  38.0  X  46.0  X  1.25 x 25 und.,arandela,59.69,Efepe
101.104.1030,ARANDELA SEGURO TUERCA MAZA 62.05 REFORMA MB 1112 x 10 und.,tuerca,58.22,Efepe
101.105.1000,CASQUILLO P/SOLDAR 7/16 x 10 Un.,otro,53.18,Efepe
101.105.1001,CASQUILLO P/SOLDAR 1/2 (cant.10),otro,43.35,Efepe
101.110.1016,ARANDELA GROWER MIL 14 x 400 und.,arandela,54.34,Efepe
157.418.1542,[HS] - ALAS  ZN   8x1.1/4   500 / 8000,tornillo,58.91,Efepe
157.418.1646,[HS] - ALAS  ZN   10x1.5/8   500 / 5000,tornillo,58.91,Efepe
157.418.1611,[HS] - ALAS  ZN   10x2   250 / 2500,tornillo,59.69,Efepe
157.419.2438,[HS] - TANQUE AGUJA  ZN   6x3/8   1000 / 16000,tornillo,59.49,Efepe
157.419.1535,[HS] - TANQUE AGUJA  ZN   8x9/16   1000 / 12000,tornillo,59.49,Efepe
157.420.1536,[HS] - TANQUE MECHA  ZN   8x1/2   1000 / 12000,mecha,46.47,Efepe
157.420.1535,[HS] - TANQUE MECHA  ZN   8x9/16   1000 / 13000,mecha,44.44,Efepe
157.420.1537,[HS] - TANQUE MECHA  ZN   8x3/4   1000 / 12000,mecha,45.57,Efepe
157.420.1510,[HS] - TANQUE MECHA  ZN   8x1   500 / 8000,mecha,45.65,Efepe
157.420.1541,[HS] - TANQUE MECHA  ZN   8x1.1/2   500 / 6000,mecha,44.67,Efepe
157.420.1637,[HS] - TANQUE MECHA  ZN   10x3/4   500 / 8000,mecha,41.39,Efepe
157.420.1610,[HS] - TANQUE MECHA  ZN   10x1   500 / 6000,mecha,44.47,Efepe
157.420.1641,[HS] - TANQUE MECHA  ZN   10x1.1/2   500 / 5000,mecha,44.44,Efepe
157.422.2943,[HS] - TROMPETA FRESADA MECHA  ZN   6x1.1/8   1000 / 13000,mecha,44.57,Efepe
