carel_codigo,carel_tipo,carel_diametro,carel_paso,carel_largo,carel_grado,carel_sistema,carel_descripcion,match_codigo,match_tipo,match_diametro,match_paso,match_largo,match_grado,match_sistema,match_precio_unitario,match_proveedor,match_descripcion,match_score,match_type,notas
1,otro,,,,,otro,.,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
2,otro,,,,,otro,Articulos varios,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
3,otro,,,,,otro,"Articulos varios al 10,5%",,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
4,otro,,,,,otro,Servicios,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
5,otro,,,,,otro,Honorarios,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
1000,otro,,,,,otro,Saldo inicial,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
1001,otro,,,,,otro,Comision por cheque rechazado,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
1002,otro,,,,,otro,Viaticos,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
1003,otro,,,,,otro,Descuentos,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
1004,otro,,,,,otro,Generacion automatica de N/D por Rechazo de Cheque,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
BHG2NC079025Z,bulón,5/16,2.0,,,imperial,BULON HEXAGONAL G2 5/16-UNC-1/ ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC031Z,tuerca,1/8,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 1/8-UNC(40) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC039Z,tuerca,5/32,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 5/32-UNC(32) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC047Z,tuerca,3/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 3/16-UNC(24) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC065Z,tuerca,1/4,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 1/4-UNC(20) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC079Z,tuerca,5/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 5/16-UNC(18) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC095Z,tuerca,3/8,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 3/8-UNC(16) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC110Z,tuerca,7/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 7/16-UNC(14) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC125Z,tuerca,1/2,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 1/2-UNC(13) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2WH125Z,tuerca,,,,,otro,TUERCA AUTOFR. ALTA G2 1/2-WHT(12) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC140Z,tuerca,9/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 9/16-UNC(12) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC160Z,tuerca,5/8,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 5/8-UNC(11) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC190Z,tuerca,3/4,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 3/4-UNC(10) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC220Z,tuerca,7/8,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 7/8-UNC(9) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC250Z,tuerca,,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 1-UNC(8) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC285Z,tuerca,1/8,2.0,,,imperial,"TUERCA AUTOFR. ALTA G2 1,1/8-UNC(7) ZINC",,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC317Z,tuerca,1/4,2.0,,,imperial,"TUERCA AUTOFR. ALTA G2 1,1/4-UNC(7) ZINC",,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NC381Z,tuerca,1/2,2.0,,,imperial,"TUERCA AUTOFR. ALTA G2 1,1/2-UNC(6) ZINC",,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NF065Z,tuerca,1/4,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 1/4-UNF(28) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NF079Z,tuerca,5/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 5/16-UNF(24) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NF095Z,tuerca,3/8,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 3/8-UNF(24) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
TUAAG2NF110Z,tuerca,7/16,2.0,,,imperial,TUERCA AUTOFR. ALTA G2 7/16-UNF(20) ZINC,,,,,,,,,,,0.0,no_match,Sin coincidencia encontrada
