codigo,descripcion_original,descripcion_borroni,score,estado
Codigo,Descripcion,,0.0,SIN_MATCH
>1,.,,0.0,SIN_MATCH
>2,Articulos varios,,0.0,SIN_MATCH
>3,"Articulos varios al 10,5%",,0.0,SIN_MATCH
>4,Servicios,,0.0,SIN_MATCH
>5,Honorarios,,0.0,SIN_MATCH
>1000,Saldo inicial,,0.0,SIN_MATCH
>1001,Comision por cheque rechazado,,0.0,SIN_MATCH
>1002,Viaticos,,0.0,SIN_MATCH
>1003,Descuentos,,0.0,SIN_MATCH
>1004,Generacion automatica de N/D por Rechazo de Cheque,,0.0,SIN_MATCH
>BHG2NC079025Z,BULON HEXAGONAL G2 5/16-UNC-1/ ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.667,MATCH
>TUAAG2NC031Z,TUERCA AUTOFR. ALTA G2 1/8-UNC(40) ZINC,,0.0,SIN_MATCH
>TUAAG2NC039Z,TUERCA AUTOFR. ALTA G2 5/32-UNC(32) ZINC,,0.0,SIN_MATCH
>TUAAG2NC047Z,TUERCA AUTOFR. ALTA G2 3/16-UNC(24) ZINC,,0.0,SIN_MATCH
>TUAAG2NC065Z,TUERCA AUTOFR. ALTA G2 1/4-UNC(20) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4,0.695,MATCH
>TUAAG2NC079Z,TUERCA AUTOFR. ALTA G2 5/16-UNC(18) ZINC,,0.0,SIN_MATCH
>TUAAG2NC095Z,TUERCA AUTOFR. ALTA G2 3/8-UNC(16) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/8,0.695,MATCH
>TUAAG2NC110Z,TUERCA AUTOFR. ALTA G2 7/16-UNC(14) ZINC,,0.0,SIN_MATCH
>TUAAG2NC125Z,TUERCA AUTOFR. ALTA G2 1/2-UNC(13) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,0.695,MATCH
>TUAAG2WH125Z,TUERCA AUTOFR. ALTA G2 1/2-WHT(12) ZINC,,0.0,SIN_MATCH
>TUAAG2NC140Z,TUERCA AUTOFR. ALTA G2 9/16-UNC(12) ZINC,,0.0,SIN_MATCH
>TUAAG2NC160Z,TUERCA AUTOFR. ALTA G2 5/8-UNC(11) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/8,0.695,MATCH
>TUAAG2NC190Z,TUERCA AUTOFR. ALTA G2 3/4-UNC(10) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/4,0.695,MATCH
>TUAAG2NC220Z,TUERCA AUTOFR. ALTA G2 7/8-UNC(9) ZINC,,0.0,SIN_MATCH
>TUAAG2NC250Z,TUERCA AUTOFR. ALTA G2 1-UNC(8) ZINC,,0.0,SIN_MATCH
>TUAAG2NC285Z,"TUERCA AUTOFR. ALTA G2 1,1/8-UNC(7) ZINC",,0.0,SIN_MATCH
>TUAAG2NC317Z,"TUERCA AUTOFR. ALTA G2 1,1/4-UNC(7) ZINC",TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4,0.688,MATCH
>TUAAG2NC381Z,"TUERCA AUTOFR. ALTA G2 1,1/2-UNC(6) ZINC",TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,0.688,MATCH
>TUAAG2NF065Z,TUERCA AUTOFR. ALTA G2 1/4-UNF(28) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4,0.671,MATCH
>TUAAG2NF079Z,TUERCA AUTOFR. ALTA G2 5/16-UNF(24) ZINC,,0.0,SIN_MATCH
>TUAAG2NF095Z,TUERCA AUTOFR. ALTA G2 3/8-UNF(24) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/8,0.671,MATCH
>TUAAG2NF110Z,TUERCA AUTOFR. ALTA G2 7/16-UNF(20) ZINC,,0.0,SIN_MATCH
>TUAAG2NF125Z,TUERCA AUTOFR. ALTA G2 1/2-UNF(20) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,0.671,MATCH
>TUAAG2NF140Z,TUERCA AUTOFR. ALTA G2 9/16-UNF(18) ZINC,,0.0,SIN_MATCH
>TUAAG2NF160Z,TUERCA AUTOFR. ALTA G2 5/8-UNF(18) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/8,0.671,MATCH
>TUAAG2NF190Z,TUERCA AUTOFR. ALTA G2 3/4-UNF(16) ZINC,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/4,0.671,MATCH
>TUAAG2NF220Z,TUERCA AUTOFR. ALTA G2 7/8-UNF(14) ZINC,,0.0,SIN_MATCH
>TUAAG2NF250Z,TUERCA AUTOFR. ALTA G2 1-UNF(14) ZINC,,0.0,SIN_MATCH
>TUAAG2NF285Z,"TUERCA AUTOFR. ALTA G2 1,1/8-UNF(12) ZINC",,0.0,SIN_MATCH
>TUAAG2NF317Z,"TUERCA AUTOFR. ALTA G2 1,1/4-UNF(12) ZINC",TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/4,0.658,MATCH
>TUAAG2NF381Z,"TUERCA AUTOFR. ALTA G2 1,1/2-UNF(12) ZINC",TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,0.658,MATCH
>TUABG2MA03D,"TUERCA AUTOFR.BAJA G2 M3-0,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA04D,"TUERCA AUTOFR.BAJA G2 M4-0,7 DICRO",,0.0,SIN_MATCH
>TUABG2MA05D,"TUERCA AUTOFR.BAJA G2 M5-0,8 DICRO",,0.0,SIN_MATCH
>TUABG2MA06D,TUERCA AUTOFR.BAJA G2 M6-1 DICRO,,0.0,SIN_MATCH
>TUABG2MA07D,TUERCA AUTOFR.BAJA G2 M7-1 DICRO,,0.0,SIN_MATCH
>TUABG2MA08D,"TUERCA AUTOFR.BAJA G2 M8-1,25 DICRO",,0.0,SIN_MATCH
>TUABG2MA10D,"TUERCA AUTOFR.BAJA G2 M10-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA12D,"TUERCA AUTOFR.BAJA G2 M12-1,75 DICRO",,0.0,SIN_MATCH
>TUABG2MA14D,TUERCA AUTOFR.BAJA G2 M14-2 DICRO,,0.0,SIN_MATCH
>TUABG2MA16D,TUERCA AUTOFR.BAJA G2 M16-2 DICRO,,0.0,SIN_MATCH
>TUABG2MA18D,"TUERCA AUTOFR.BAJA G2 M18-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA20D,"TUERCA AUTOFR.BAJA G2 M20-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA22D,"TUERCA AUTOFR.BAJA G2 M22-2,5 DICRO",,0.0,SIN_MATCH
>TUABG2MA24D,TUERCA AUTOFR.BAJA G2 M24-3 DICRO,,0.0,SIN_MATCH
>TUABG2MA30D,"TUERCA AUTOFR.BAJA G2 M30-3,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB08D,TUERCA AUTOFR.BAJA G2 M8-1 DICRO,,0.0,SIN_MATCH
>TUABG2MB10D,"TUERCA AUTOFR.BAJA G2 M10-1,25 DICRO",,0.0,SIN_MATCH
>TUABG2MC10D,TUERCA AUTOFR.BAJA G2 M10-1 DICRO,,0.0,SIN_MATCH
>TUABG2MC12D,"TUERCA AUTOFR.BAJA G2 M12-1,25 DICRO",,0.0,SIN_MATCH
>TUABG2MB12D,"TUERCA AUTOFR.BAJA G2 M12-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB14D,"TUERCA AUTOFR.BAJA G2 M14-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB16D,"TUERCA AUTOFR.BAJA G2 M16-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB18D,"TUERCA AUTOFR.BAJA G2 M18-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB20D,"TUERCA AUTOFR.BAJA G2 M20-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB22D,"TUERCA AUTOFR.BAJA G2 M22-1,5 DICRO",,0.0,SIN_MATCH
>TUABG2MB24D,TUERCA AUTOFR.BAJA G2 M24-2 DICRO,,0.0,SIN_MATCH
>TUABG2MB30D,TUERCA AUTOFR.BAJA G2 M30-2 DICRO,,0.0,SIN_MATCH
>TU936G2MB14D,"TUERCA HEXAGONAL DIN 936 G2 M14-1,5 DICRO",,0.0,SIN_MATCH
