codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,metrico,precio_unitario,proveedor,descripcion
AC3X6,allen,3,0.50,6,12.9,metrico,41.73,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 6 12.9"
AC3X8,allen,3,0.50,8,12.9,metrico,42.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 8 12.9"
AC3X10,allen,3,0.50,10,12.9,metrico,44.94,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 10 12.9"
AC3X12,allen,3,0.50,12,12.9,metrico,46.01,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 12 12.9"
AC3X16,allen,3,0.50,16,12.9,metrico,50.29,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 16 12.9"
AC3X20,allen,3,0.50,20,12.9,metrico,51.36,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 20 12.9"
AC3X25,allen,3,0.50,25,12.9,metrico,58.85,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 25 12.9"
AC3X30,allen,3,0.50,30,12.9,metrico,85.6,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 30 12.9"
AC3X35,allen,3,0.50,35,12.9,metrico,115.56,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 35 12.9"
AC3X40,allen,3,0.50,40,12.9,metrico,144.45,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 40 12.9"
AC3X50,allen,3,0.50,50,12.9,metrico,201.16,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 50 12.9"
AC4X6,allen,4,0.70,6,12.9,metrico,42.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 6 12.9"
AC4X8,allen,4,0.70,8,12.9,metrico,43.87,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 8 12.9"
AC4X10,allen,4,0.70,10,12.9,metrico,46.01,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 10 12.9"
AC4X12,allen,4,0.70,12,12.9,metrico,50.29,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 12 12.9"
AC4X16,allen,4,0.70,16,12.9,metrico,54.57,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 16 12.9"
AC4X20,allen,4,0.70,20,12.9,metrico,57.78,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 20 12.9"
AC4X25,allen,4,0.70,25,12.9,metrico,60.99,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 25 12.9"
AC4X30,allen,4,0.70,30,12.9,metrico,78.11,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 30 12.9"
AC4X35,allen,4,0.70,35,12.9,metrico,98.44,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 35 12.9"
AC4X40,allen,4,0.70,40,12.9,metrico,109.14,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 40 12.9"
AC4X50,allen,4,0.70,50,12.9,metrico,135.89,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 50 12.9"
AC5X8,allen,5,0.80,8,12.9,metrico,55.64,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 8 12.9"
AC5X10,allen,5,0.80,10,12.9,metrico,57.78,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 10 12.9"
AC5X12,allen,5,0.80,12,12.9,metrico,62.06,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 12 12.9"
AC5X16,allen,5,0.80,16,12.9,metrico,67.41,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 16 12.9"
AC5X20,allen,5,0.80,20,12.9,metrico,70.62,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 20 12.9"
AC5X25,allen,5,0.80,25,12.9,metrico,83.46,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 25 12.9"
AC5X30,allen,5,0.80,30,12.9,metrico,89.88,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 30 12.9"
AC5X35,allen,5,0.80,35,12.9,metrico,107.0,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 35 12.9"
AC5X40,allen,5,0.80,40,12.9,metrico,115.56,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 40 12.9"
AC5X45,allen,5,0.80,45,12.9,metrico,150.87,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 45 12.9"
AC5X50,allen,5,0.80,50,12.9,metrico,153.01,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 50 12.9"
AC5x55,allen,5,0.80,55,12.9,metrico,177.62,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 55 12.9"
AC5X60,allen,5,0.80,60,12.9,metrico,196.88,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 60 12.9"
AC5X70,allen,5,0.80,70,12.9,metrico,292.11,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 70 12.9"
AC5X80,allen,5,0.80,80,12.9,metrico,329.56,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 80 12.9"
AC5X90,allen,5,0.80,90,12.9,metrico,492.2,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 90 12.9"
AC5X100,allen,5,0.80,100,12.9,metrico,577.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 5 x 0,80 x 100 12.9"
AC6X10,allen,6,1.00,10,12.9,metrico,72.76,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 10 12.9"
AC6X12,allen,6,1.00,12,12.9,metrico,74.9,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 12 12.9"
AC6X16,allen,6,1.00,16,12.9,metrico,81.32,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 16 12.9"
AC6X20,allen,6,1.00,20,12.9,metrico,88.81,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 20 12.9"
AC6X25,allen,6,1.00,25,12.9,metrico,104.86,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 25 12.9"
AC6X30,allen,6,1.00,30,12.9,metrico,127.33,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 30 12.9"
AC6X35,allen,6,1.00,35,12.9,metrico,142.31,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 35 12.9"
AC6X40,allen,6,1.00,40,12.9,metrico,153.01,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 40 12.9"
AC6X45,allen,6,1.00,45,12.9,metrico,176.55,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 45 12.9"
AC6X50,allen,6,1.00,50,12.9,metrico,188.32,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 50 12.9"
AC6X55,allen,6,1.00,55,12.9,metrico,202.23,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 55 12.9"
AC6X60,allen,6,1.00,60,12.9,metrico,216.14,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 60 12.9"
AC6X70,allen,6,1.00,70,12.9,metrico,256.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 70 12.9"
AC6X80,allen,6,1.00,80,12.9,metrico,349.89,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 80 12.9"
AC6X90,allen,6,1.00,90,12.9,metrico,463.31,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 90 12.9"
AC6X100,allen,6,1.00,100,12.9,metrico,538.21,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 100 12.9"
AC6X110,allen,6,1.00,110,12.9,metrico,811.06,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 110 12.9"
AC6X120,allen,6,1.00,120,12.9,metrico,952.3,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 120 12.9"
AC6X130,allen,6,1.00,130,12.9,metrico,1070.0,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 130 12.9"
AC6X140,allen,6,1.00,140,12.9,metrico,1155.6,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 140 12.9"
AC6X150,allen,6,1.00,150,12.9,metrico,1444.5,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 6 x 1,00 x 150 12.9"
AC8X10,allen,8,1.25,10,12.9,metrico,147.66,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 10 12.9"
AC8X12,allen,8,1.25,12,12.9,metrico,162.64,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 12 12.9"
AC8X16,allen,8,1.25,16,12.9,metrico,171.2,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 16 12.9"
AC8X180,allen,8,1.25,18,12.9,metrico,174.41,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 18 12.9"
AC8X20,allen,8,1.25,20,12.9,metrico,176.55,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 20 12.9"
