codigo,tipo,forma,diametro,paso,largo,grado,sistema,acabado,precio_unitario,proveedor,descripcion
codigo,tornillo,,,,,,metrico,,proveedor,trusoni,descripcion
AC3X6,tornillo_allen,cilindrica,3,0.50,6,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 6 12.9"
AC3X8,tornillo_allen,cilindrica,3,0.50,8,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 8 12.9"
AC3X10,tornillo_allen,cilindrica,3,0.50,10,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 10 12.9"
AC3X12,tornillo_allen,cilindrica,3,0.50,12,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 12 12.9"
AC3X16,tornillo_allen,cilindrica,3,0.50,16,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 16 12.9"
AC3X20,tornillo_allen,cilindrica,3,0.50,20,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 20 12.9"
AC3X25,tornillo_allen,cilindrica,3,0.50,25,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 25 12.9"
AC3X30,tornillo_allen,cilindrica,3,0.50,30,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 30 12.9"
AC3X35,tornillo_allen,cilindrica,3,0.50,35,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 35 12.9"
AC3X40,tornillo_allen,cilindrica,3,0.50,40,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 40 12.9"
AC3X50,tornillo_allen,cilindrica,3,0.50,50,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 3 x 0,50 x 50 12.9"
AC4X6,tornillo_allen,cilindrica,4,0.70,6,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 6 12.9"
AC4X8,tornillo_allen,cilindrica,4,0.70,8,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 8 12.9"
AC4X10,tornillo_allen,cilindrica,4,0.70,10,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 10 12.9"
AC4X12,tornillo_allen,cilindrica,4,0.70,12,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 12 12.9"
AC4X16,tornillo_allen,cilindrica,4,0.70,16,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 16 12.9"
AC4X20,tornillo_allen,cilindrica,4,0.70,20,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 20 12.9"
AC4X25,tornillo_allen,cilindrica,4,0.70,25,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 4 x 0,70 x 25 12.9"
